@_uuid,today,general_infoq5_organization,general_infoq1_province,general_infoq2_district,s1_household_profile/head_of_household/female_hhd,s1_household_profile/head_of_household/child_hhd,s1_household_profile/head_of_household/elderly_hhd,s1_household_profile/head_of_household/chronically_ill,s1_household_profile/head_of_household/hh_disability,s2_cash_distribution_processq2_1_do_u_think_gave_right_people,s2_cash_distribution_processq2_3_how_mach_cash,s2_cash_distribution_processq2_5_travel_more_than_1_hour,s2_cash_distribution_processq2_6_feel_unsafe_when_travelling,s3_use_of_cash_assistanceq3_4_cash_improved_wellbeing_ur_hhd,s3_use_of_cash_assistanceq3_5_1_food,s3_use_of_cash_assistanceq3_5_2_kitchen_items_nfis,s3_use_of_cash_assistanceq3_5_3_hygiene_items_nfis,s3_use_of_cash_assistanceq3_5_4_clothes_nfis,s3_use_of_cash_assistanceq3_5_5_blankets_nfis,s3_use_of_cash_assistanceq3_5_6_rent,s3_use_of_cash_assistanceq3_5_7_shelter_repair,s3_use_of_cash_assistanceq3_5_8_health,s3_use_of_cash_assistanceq3_5_9_transportation,s3_use_of_cash_assistanceq3_5_10_utillites,s3_use_of_cash_assistanceq3_5_11_debt_repayment,s3_use_of_cash_assistanceq3_5_12_education,s3_use_of_cash_assistanceq3_5_13_saved,s5_multi_sector_outcome_indexq5_4_debt_compared,CSI,rCSI_newThreshold,FCS,FCS_Level,FCS_rCSI
9f5d24d6-e3c1-4928-ae86-013bc71187f1,2018-01-21,NRC,Nangarhar,Khogyani,0,0,1,0,0,yes,14000,no,no,yes_improved_a_lot,,,,less_than_half,,,,more_than_half,,,,,,same,1,3,44.5,3,3
7cb4e739-e20f-4631-9a47-7f7002100f6b,2018-01-21,NRC,Nangarhar,Khogyani,,,,,,yes,14000,no,no,yes_improved_a_lot,more_than_half,,,,,less_than_half,,,,,,,,less,1,3,46.5,3,3
a221ef6d-8b52-4674-81dd-3dc7ff900c79,2018-01-21,NRC,Nangarhar,Khogyani,,,,,,yes,14000,no,no,yes_improved_a_lot,more_than_half,,,less_than_half,,,,,,,,,,less,1,3,44.5,3,3
719bc73e-cdf6-4e48-997f-f4f67dd66d0a,2018-01-21,NRC,Nangarhar,Khogyani,0,0,0,0,1,yes,14000,no,no,yes_improved_a_lot,almost_all,,,,,,,,,,,,,same,1,3,48.5,3,3
bae78187-fc84-4f2a-bec8-fd5bec6274f5,2018-01-21,NRC,Nangarhar,Khogyani,,,,,,yes,14000,no,no,yes_improved_a_little,more_than_half,,,,less_than_half,,,less_than_half,,,,,,less,1,3,45.5,3,3
8b3b917e-29b9-4836-9e0e-20c0a0c34b14,2018-01-21,DRC,Farah,Farah,0,0,0,0,1,yes,30000,no,no,yes_improved_a_little,less_than_half,,,,,,,more_than_half,,,,,,same,4,2,31.5,2,2
393c78ac-5298-4f33-8fdf-aa2f9867b1bb,2018-01-18,NRC,Hirat,Hirat,,,,,,yes,14000,no,no,yes_improved_a_little,more_than_half,less_than_half,,less_than_half,,less_than_half,,less_than_half,less_than_half,less_than_half,,,,same,9,2,41.5,2,2
32a0b6e7-b73c-4f4e-b142-d8bc001cbf66,2018-01-18,NRC,Hirat,Injil,0,0,1,1,0,yes,14000,no,no,yes_improved_a_little,almost_nothing,,,,,less_than_half,,,less_than_half,less_than_half,less_than_half,,less_than_half,less,19,1,32,2,1
a77a4ff1-8b87-4f78-9f30-257b11c96ae7,2018-01-18,NRC,Hirat,Injil,1,0,0,0,0,yes,14000,no,no,yes_improved_a_lot,less_than_half,less_than_half,,,,less_than_half,,less_than_half,less_than_half,less_than_half,,,,less,16,1,34.5,2,1
a5658bd7-8b88-4b94-8481-bcdd9f9dcdb5,2018-01-18,NRC,Hirat,Hirat,,,,,,yes,14000,no,no,yes_improved_a_little,almost_nothing,,,,,less_than_half,,,,less_than_half,,,,same,20,1,30,2,1
